Category;Asset_ID;Name;Filename;Size;Format;Transparent;Tags;Variant/Rarity;Description;Prompt;Negative_Prompt;Priority;Status;Notes
Item Icon;pressure_hammer;Druckhammer;pressure_hammer.png;128x128 / 256x256;PNG alpha;Yes;pressure,blunt,heavy;Common;Heavy steam-powered hammer, brass pressure chamber at the head, small pressure gauge attached, worn steel striking face;steampunk item icon, Heavy steam-powered hammer, brass pressure chamber at the head, small pressure gauge attached, worn steel striking face, brass and copper machinery, warm patina, dark amber rim lighting from upper right, hand-painted illustration in the style of warm action roguelike concept art (Bastion, Children of Morta), 3/4 perspective, transparent background, centered composition, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;floor: foundation
Item Icon;steam_kettle;Dampfkessel;steam_kettle.png;128x128 / 256x256;PNG alpha;Yes;steam,pressure,support;Common;Bulging copper boiler with brass whistle on top, rivets across the seams, orange glow visible through cracks;steampunk item icon, Bulging copper boiler with brass whistle on top, rivets across the seams, orange glow visible through cracks, brass and copper machinery, warm patina, dark amber rim lighting from upper right, hand-painted illustration in the style of warm action roguelike concept art (Bastion, Children of Morta), 3/4 perspective, transparent background, centered composition, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;floor: workshop
Item Icon;gear_sync;Zahnrad-Synchronisator;gear_sync.png;128x128 / 256x256;PNG alpha;Yes;mechanical,sync,modifier;Uncommon;Three interlocking brass gears around a central regulator spindle, small synchronization sparks;steampunk item icon, Three interlocking brass gears around a central regulator spindle, small synchronization sparks, brass and copper machinery, warm patina, dark amber rim lighting from upper right, hand-painted illustration in the style of warm action roguelike concept art (Bastion, Children of Morta), 3/4 perspective, transparent background, centered composition, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;floor: workshop
Item Icon;relief_valve;Druckventil;relief_valve.png;128x128 / 256x256;PNG alpha;Yes;pressure,reactive;Uncommon;Vertical brass pipe with large rotating handle, steam venting from side ports under pressure;steampunk item icon, Vertical brass pipe with large rotating handle, steam venting from side ports under pressure, brass and copper machinery, warm patina, dark amber rim lighting from upper right, hand-painted illustration in the style of warm action roguelike concept art (Bastion, Children of Morta), 3/4 perspective, transparent background, centered composition, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;floor: pinnacle
Item Icon;pressure_gauge;Druckmesser;pressure_gauge.png;128x128 / 256x256;PNG alpha;Yes;mechanical,modifier,pressure;Uncommon;Large round brass-cased pressure gauge, needle deep in the red zone, glass face slightly fogged;steampunk item icon, Large round brass-cased pressure gauge, needle deep in the red zone, glass face slightly fogged, brass and copper machinery, warm patina, dark amber rim lighting from upper right, hand-painted illustration in the style of warm action roguelike concept art (Bastion, Children of Morta), 3/4 perspective, transparent background, centered composition, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;floor: workshop
Item Icon;repair_drone;Reparatur-Drohne;repair_drone.png;128x128 / 256x256;PNG alpha;Yes;mechanical,support;Rare;Small flying brass device with twin propellers and an articulated repair arm holding tools;steampunk item icon, Small flying brass device with twin propellers and an articulated repair arm holding tools, brass and copper machinery, warm patina, dark amber rim lighting from upper right, hand-painted illustration in the style of warm action roguelike concept art (Bastion, Children of Morta), 3/4 perspective, transparent background, centered composition, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;floor: workshop
Item Icon;spark_spitter;Funkenspeier;spark_spitter.png;128x128 / 256x256;PNG alpha;Yes;fire,ranged,precision;Common;Narrow brass nozzle device with cable coils, controlled spark burst emerging from the tip;steampunk item icon, Narrow brass nozzle device with cable coils, controlled spark burst emerging from the tip, brass and copper machinery, warm patina, dark amber rim lighting from upper right, hand-painted illustration in the style of warm action roguelike concept art (Bastion, Children of Morta), 3/4 perspective, transparent background, centered composition, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;floor: pinnacle
Item Icon;pendulum_strike;Pendel-Schlag;pendulum_strike.png;128x128 / 256x256;PNG alpha;Yes;blunt,heavy,mechanical;Uncommon;Massive pendulum on a brass yoke mount, heavy lead head with wear marks at the strike face;steampunk item icon, Massive pendulum on a brass yoke mount, heavy lead head with wear marks at the strike face, brass and copper machinery, warm patina, dark amber rim lighting from upper right, hand-painted illustration in the style of warm action roguelike concept art (Bastion, Children of Morta), 3/4 perspective, transparent background, centered composition, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;floor: workshop
Item Icon;cargo_lift;Lasten-Aufzug;cargo_lift.png;128x128 / 256x256;PNG alpha;Yes;mechanical,support,pressure;Uncommon;Platform with chain winch mechanism and pneumatic lifting cylinder, brass guide rails;steampunk item icon, Platform with chain winch mechanism and pneumatic lifting cylinder, brass guide rails, brass and copper machinery, warm patina, dark amber rim lighting from upper right, hand-painted illustration in the style of warm action roguelike concept art (Bastion, Children of Morta), 3/4 perspective, transparent background, centered composition, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;floor: foundation
Item Icon;forge_hearth;Schmiede-Esse;forge_hearth.png;128x128 / 256x256;PNG alpha;Yes;fire,support,heavy;Rare;Open masonry forge with glowing coals, large brass-trimmed bellows attached, smoke wisps;steampunk item icon, Open masonry forge with glowing coals, large brass-trimmed bellows attached, smoke wisps, brass and copper machinery, warm patina, dark amber rim lighting from upper right, hand-painted illustration in the style of warm action roguelike concept art (Bastion, Children of Morta), 3/4 perspective, transparent background, centered composition, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;floor: foundation
