keys,de,en
COGWRIGHT,COGWRIGHT,COGWRIGHT
"Ein Uhrwerk, das du synchronisierst.","Ein Uhrwerk, das du synchronisierst.","A clockwork you synchronise."
Neuer Run,Neuer Run,New Run
Daily Challenge,Daily Challenge,Daily Challenge
Item-Codex,Item-Codex,Item Codex
Einstellungen,Einstellungen,Settings
Beenden,Beenden,Quit
Wähle dein Starter-Set,Wähle dein Starter-Set,Choose your starter set
Wählen,Wählen,Choose
Turm aufbauen,Turm aufbauen,Build your tower
Pause,Pause,Pause
Weiter,Weiter,Resume
Speed +,Speed +,Speed +
Hauptmenü,Hauptmenü,Main Menu
Sieg!,Sieg!,Victory!
Hinzufügen,Hinzufügen,Add
Überspringen,Überspringen,Skip
Werkstatt-Reparatur,Werkstatt-Reparatur,Workshop Repair
Reparieren,Reparieren,Repair
Volle HP,Volle HP,Full HP
Wanderhändlerin,Wanderhändlerin,Wandering Merchant
Verkauft,Verkauft,Sold
Weiter zur Karte,Weiter zur Karte,Continue to map
Reparatur-Halt,Reparatur-Halt,Repair Stop
Reisekarte,Reisekarte,Travel Map
Run abgeschlossen!,Run abgeschlossen!,Run complete!
Turm zerschlagen,Turm zerschlagen,Tower destroyed
Kampflog anzeigen,Kampflog anzeigen,Show battle log
Schließen,Schließen,Close
Kampflog,Kampflog,Battle Log
Gesamt-Lautstärke,Gesamt-Lautstärke,Master Volume
Musik,Musik,Music
Soundeffekte,Soundeffekte,Sound Effects
Vollbild,Vollbild,Fullscreen
Sprache,Sprache,Language
Daily-Run starten,Daily-Run starten,Start daily run
Zurück,Zurück,Back
Inventar,Inventar,Inventory
Werkstatt-Turm,Werkstatt-Turm,Workshop Tower
Klick ein Item, dann einen Turm-Slot.,"Klick ein Item, dann einen Turm-Slot.","Click an item, then a tower slot."
(leer),(leer),(empty)
Tick %d,Tick %d,Tick %d
Verstanden,Verstanden,Understood
Hinweis,Hinweis,Hint
Reroll,Reroll,Reroll
Begegnung,Begegnung,Encounter
← Zurück zum Menü,← Zurück zum Menü,← Back to menu
← Zurück,← Zurück,← Back
