Category;Asset_ID;Name;Filename;Size;Format;Transparent;Tags;Variant/Rarity;Description;Prompt;Negative_Prompt;Priority;Status;Notes
Item Icon;druckhammer;Druckhammer;druckhammer.png;128x128 / optional 256x256;PNG alpha;Yes;"pressure;blunt;heavy";;Heavy pressure hammer with a brass steam chamber at the head, small pressure gauge, worn steel striking face;steampunk item icon, Heavy pressure hammer with a brass steam chamber at the head, small pressure gauge, worn steel striking face, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;dampfkessel;Dampfkessel;dampfkessel.png;128x128 / optional 256x256;PNG alpha;Yes;"steam;pressure;support";;Bulging copper boiler with whistle, rivets and orange glow visible through cracks;steampunk item icon, Bulging copper boiler with whistle, rivets and orange glow visible through cracks, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;zahnrad_synchronisator;Zahnrad-Synchronisator;zahnrad_synchronisator.png;128x128 / optional 256x256;PNG alpha;Yes;"mechanical;sync;modifier";;Interlocking brass gears around a central regulator spindle with sync sparks;steampunk item icon, Interlocking brass gears around a central regulator spindle with sync sparks, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;funkenspeier;Funkenspeier;funkenspeier.png;128x128 / optional 256x256;PNG alpha;Yes;"fire;ranged;precision";;Narrow brass nozzle device with cable coils and controlled spark burst at the tip;steampunk item icon, Narrow brass nozzle device with cable coils and controlled spark burst at the tip, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;pendel_schlag;Pendel-Schlag;pendel_schlag.png;128x128 / optional 256x256;PNG alpha;Yes;"blunt;mechanical;heavy";;Heavy pendulum mechanism on brass mount with lead weight and worn chain;steampunk item icon, Heavy pendulum mechanism on brass mount with lead weight and worn chain, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;schmiede_esse;Schmiede-Esse;schmiede_esse.png;128x128 / optional 256x256;PNG alpha;Yes;"fire;support;heavy";;Compact forge with glowing coal bed, small bellows and smoke curl;steampunk item icon, Compact forge with glowing coal bed, small bellows and smoke curl, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;steinschloss_pistole;Steinschloss-Pistole;steinschloss_pistole.png;128x128 / optional 256x256;PNG alpha;Yes;"ranged;precision;mechanical";;Antique flintlock pistol with brass fittings, iron hammer and carved dark wood grip;steampunk item icon, Antique flintlock pistol with brass fittings, iron hammer and carved dark wood grip, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;chronometer;Chronometer;chronometer.png;128x128 / optional 256x256;PNG alpha;Yes;"precision;sync;modifier";;Complex pocket watch with exposed cogs, cracked glass and warm inner glow;steampunk item icon, Complex pocket watch with exposed cogs, cracked glass and warm inner glow, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;kupfer_spule;Kupfer-Spule;kupfer_spule.png;128x128 / optional 256x256;PNG alpha;Yes;"fire;precision;modifier";;Copper induction coil wrapped around a dark iron core with tiny sparks;steampunk item icon, Copper induction coil wrapped around a dark iron core with tiny sparks, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;dampfventil;Dampfventil;dampfventil.png;128x128 / optional 256x256;PNG alpha;Yes;"steam;pressure;support";;Heavy brass valve wheel attached to a short pressure pipe with steam leak;steampunk item icon, Heavy brass valve wheel attached to a short pressure pipe with steam leak, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
